V 0.00239    Installer: force directories
V 0.00292    Installer: write password hash
V 0.00411    Storing encrypted password
V 0.00446    DB [1]: SET NAMES utf8mb4
V 0.00476    Installer: data exists and migrateable
V 0.00479    Installer: no need to create tables, will migrate
V 0.00483    Will run some query
V 0.00486    DB [2]: SET sql_quote_show_create=1
V 0.00502    Ensure encoding utf8mb4 on all tables {
V 0.00506      Migrate: Check table Actions
V 0.00509      Will run some query
V 0.00512      DB [3]: SHOW TABLE STATUS LIKE 'e2BlogActions'
V 0.00544      Migrate: Check table Aliases
V 0.00548      Will run some query
V 0.00551      DB [4]: SHOW TABLE STATUS LIKE 'e2BlogAliases'
V 0.00585      Migrate: Check table Comments
V 0.00588      Will run some query
V 0.0059       DB [5]: SHOW TABLE STATUS LIKE 'e2BlogComments'
V 0.00609      Migrate: Check table GIPsSessions
V 0.00612      Will run some query
V 0.00615      DB [6]: SHOW TABLE STATUS LIKE 'e2BlogGIPsSessions'
V 0.00658      Migrate: Check table Keywords
V 0.00662      Will run some query
V 0.00664      DB [7]: SHOW TABLE STATUS LIKE 'e2BlogKeywords'
V 0.007        Migrate: Check table Notes
V 0.00703      Will run some query
V 0.00706      DB [8]: SHOW TABLE STATUS LIKE 'e2BlogNotes'
V 0.00725      Migrate: Check table NotesKeywords
V 0.00728      Will run some query
V 0.0073       DB [9]: SHOW TABLE STATUS LIKE 'e2BlogNotesKeywords'
V 0.00761      Migrate: Check table Sources
V 0.00764      Will run some query
V 0.00767      DB [10]: SHOW TABLE STATUS LIKE 'e2BlogSources'
V 0.00801      Migrate: Check table RoseContents
V 0.00804      Will run some query
V 0.00806      DB [11]: SHOW TABLE STATUS LIKE 'e2BlogRoseContents'
V 0.00839      Migrate: Check table RoseWord
V 0.00841      Will run some query
V 0.00844      DB [12]: SHOW TABLE STATUS LIKE 'e2BlogRoseWord'
V 0.00883      Migrate: Check table RoseFulltext
V 0.00886      Will run some query
V 0.00889      DB [13]: SHOW TABLE STATUS LIKE 'e2BlogRoseFulltext'
V 0.00921      Migrate: Check table RoseKeyword
V 0.00925      Will run some query
V 0.00928      DB [14]: SHOW TABLE STATUS LIKE 'e2BlogRoseKeyword'
V 0.00962      Migrate: Check table RoseKeywordMultiple
V 0.00965      Will run some query
V 0.00968      DB [15]: SHOW TABLE STATUS LIKE 'e2BlogRoseKeywordMultiple'
V 0.00999    }
V 0.01002    Get existing table information {
V 0.01005      Will run some query
V 0.01007      DB [16]: SHOW TABLES LIKE 'e2BlogActions'
V 0.01019      Will run some query
V 0.01022      DB [17]: SHOW CREATE TABLE `e2BlogActions`
V 0.01032      Will run some query
V 0.01035      DB [18]: SHOW INDEX FROM `e2BlogActions`
V 0.0105       Will run some query
V 0.01052      DB [19]: UPDATE `e2BlogActions` SET `SubsetID` = 1 WHERE `SubsetID` = 0
V 0.01067      Will run some query
V 0.01072      DB [20]: SHOW TABLES LIKE 'e2BlogAliases'
V 0.01084      Will run some query
V 0.01088      DB [21]: SHOW CREATE TABLE `e2BlogAliases`
V 0.01095      Will run some query
V 0.01098      DB [22]: SHOW INDEX FROM `e2BlogAliases`
V 0.0111       Will run some query
V 0.01114      DB [23]: UPDATE `e2BlogAliases` SET `SubsetID` = 1 WHERE `SubsetID` = 0
V 0.01126      Will run some query
V 0.01128      DB [24]: SHOW TABLES LIKE 'e2BlogComments'
V 0.01139      Will run some query
V 0.01142      DB [25]: SHOW CREATE TABLE `e2BlogComments`
V 0.01151      Will run some query
V 0.01154      DB [26]: SHOW INDEX FROM `e2BlogComments`
V 0.01167      Will run some query
V 0.0117       DB [27]: UPDATE `e2BlogComments` SET `SubsetID` = 1 WHERE `SubsetID` = 0
V 0.01182      Will run some query
V 0.01185      DB [28]: SHOW TABLES LIKE 'e2BlogGIPsSessions'
V 0.01195      Will run some query
