O 0.00254    Backup before update {
O 0.00356      DB [1]: SET NAMES utf8mb4
O 0.00375      Backup: wrote header
O 0.00379      Backup: table e2BlogActions
O 0.00448      Backup: wrote table definition with result 1
O 0.00462      Backup: chunk size 50000
O 0.00482      Backup: wrote table data with result 1
O 0.00485      Backup: table e2BlogAliases
O 0.00513      Backup: wrote table definition with result 1
O 0.00524      Backup: chunk size 20000
O 0.00544      Backup: wrote table data with result 1
O 0.00547      Backup: table e2BlogComments
O 0.00572      Backup: wrote table definition with result 1
O 0.00579      Backup: chunk size 5000
O 0.00582      Backup: wrote table data with result 1
O 0.00584      Backup: table e2BlogGIPsSessions
O 0.00631      Backup: wrote table definition with result 1
O 0.00642      Backup: chunk size 5000
O 0.00645      Backup: wrote table data with result 1
O 0.00647      Backup: table e2BlogKeywords
O 0.0067       Backup: wrote table definition with result 1
O 0.0068       Backup: chunk size 5000
O 0.00698      Backup: wrote table data with result 1
O 0.00701      Backup: table e2BlogNotes
O 0.00727      Backup: wrote table definition with result 1
O 0.00738      Backup: chunk size 5000
O 0.00778      Backup: wrote table data with result 1
O 0.00782      Backup: table e2BlogNotesKeywords
O 0.00803      Backup: wrote table definition with result 1
O 0.00812      Backup: chunk size 5000
O 0.00827      Backup: wrote table data with result 1
O 0.0083       Backup: table e2BlogSources
O 0.00873      Backup: wrote table definition with result 1
O 0.00881      Backup: chunk size 5000
O 0.00884      Backup: wrote table data with result 1
O 0.00886      Backup: wrote data with running == 1
O 0.00998    }
O 0.01005    Update from v3788 to v3831 {
O 0.01155      Caches: Drop all kinds of caches
O 0.01563      Will run some query
O 0.0157       DB [2]: SET sql_quote_show_create=1
O 0.01594      Ensure encoding utf8mb4 on all tables {
O 0.01597        Migrate: Check table Actions
O 0.016          Will run some query
O 0.01603        DB [3]: SHOW TABLE STATUS LIKE 'e2BlogActions'
O 0.01633        Migrate: Check table Aliases
O 0.01636        Will run some query
O 0.01639        DB [4]: SHOW TABLE STATUS LIKE 'e2BlogAliases'
O 0.01653        Migrate: Check table Comments
O 0.01656        Will run some query
O 0.01658        DB [5]: SHOW TABLE STATUS LIKE 'e2BlogComments'
O 0.01671        Migrate: Check table GIPsSessions
O 0.01673        Will run some query
O 0.01675        DB [6]: SHOW TABLE STATUS LIKE 'e2BlogGIPsSessions'
O 0.01689        Migrate: Check table Keywords
O 0.01692        Will run some query
O 0.01694        DB [7]: SHOW TABLE STATUS LIKE 'e2BlogKeywords'
O 0.01706        Migrate: Check table Notes
O 0.01708        Will run some query
O 0.01711        DB [8]: SHOW TABLE STATUS LIKE 'e2BlogNotes'
O 0.01722        Migrate: Check table NotesKeywords
O 0.01725        Will run some query
O 0.01727        DB [9]: SHOW TABLE STATUS LIKE 'e2BlogNotesKeywords'
O 0.01738        Migrate: Check table Sources
O 0.01742        Will run some query
